"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"P_Llop_2 2017 Tractament",0,0,0,0,0,0,0,0,0,5,10,15,20,20,20,40,60,80,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_20 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_20 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,10,10,15,15,15,15,15,15
"P_Llop_20 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_20 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_20 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_20 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,25,60,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_21 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_21 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,5,5,5
"P_Llop_21 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_21 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"P_Llop_21 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_21 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,30,70,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_22 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_22 2015 Tractament",0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,15,15,50,50,50,55
"P_Llop_22 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_22 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,40,70,70,80,80,80,80,95,95,95,100,100
"P_Llop_22 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_22 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,10,60,65,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_24 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_24 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_24 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_24 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,20
"P_Llop_24 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_24 2017 Tractament",0,0,0,0,0,0,0,0,5,10,10,10,15,40,50,50,50,60,80,90,100,100,100,100,100,100,100,100,100
"P_Llop_25 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_25 2015 Tractament",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,5,15
"P_Llop_25 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_25 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_25 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_25 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,20,25,30,50,60,70,70,95,95,100,100,100,100
"P_Llop_26 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_26 2015 Tractament",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
"P_Llop_26 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_26 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10
"P_Llop_26 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_26 2017 Tractament",0,0,0,0,0,0,0,20,25,40,60,70,80,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_27 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_27 2015 Tractament",0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10
"P_Llop_27 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_27 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_27 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_27 2017 Tractament",0,0,0,0,0,0,0,0,0,10,15,20,20,20,40,60,90,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_28 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_28 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,5,5,5
"P_Llop_28 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_28 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10
"P_Llop_28 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_28 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,20,70,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_29 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_29 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_29 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,15,15,35,40,40,40,90,90,90,90,95
"P_Llop_29 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_29 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,70,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_3 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_3 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,15
"P_Llop_3 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_3 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,70,70,70,70,70
"P_Llop_3 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_3 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,25,60,70,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_30 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_30 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
"P_Llop_30 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_30 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,15,20,20,20
"P_Llop_30 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_30 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,70,70,100,100,100,100,100,100
