"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"Tascons_16 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,50,50
"Tascons_16 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_16 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,30,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_17 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_17 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10
"Tascons_17 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,15
"Tascons_17 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_17 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,10,10,20,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_18 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,20,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_19 2015 Control",0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Tascons_19 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2017 Tractament",0,0,0,0,0,0,0,0,0,5,5,20,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_2 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_2 2015 Tractament",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"Tascons_2 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_2 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tascons_2 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_2 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,40,50,60,80,100,100,100,100,100,100,100,100,100,100
"Tascons_20 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_20 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tascons_20 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_20 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,20,20,20,55,70,80,80,95
"Tascons_20 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_20 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_21 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_21 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,15,15,20,20,20,45
"Tascons_21 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_21 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10,20,25,35,35,40
"Tascons_21 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_21 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,90,100,100,100,100,100,100,100,100,100,100
"Tascons_22 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_22 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,15,15,15,15,50,55,55,80,80,80,100
"Tascons_22 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_22 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,50,70
"Tascons_22 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_22 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,90,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_23 2015 Control",0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Tascons_23 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,10,10,10,10,10,40
"Tascons_23 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_23 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,10,10,10,80,80,80,80,80
"Tascons_23 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_23 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,15,15,15,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_24 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2
"Tascons_24 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,10,35,60,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_25 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_25 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,20,20,20,20,30
"Tascons_25 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_25 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,30,40,50,50
"Tascons_25 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_25 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,15,15,15,20,30,30,60,90,100,100,100,100,100,100,100,100,100,100
"Tascons_26 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_26 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,20,20,20,20,20,90
"Tascons_26 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_26 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,20,20,20,90,90,90,90,90
"Tascons_26 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_26 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,90,100,100,100,100,100,100,100,100,100
"Tascons_27 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_27 2015 Tractament",0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,10,10,10,10,10,10,20
"Tascons_27 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_27 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,20,45,85,85,85,95,100,100,100,100
"Tascons_27 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_27 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,15,15,15,20,20,35,80,100,100,100,100,100,100,100,100,100,100,100
"Tascons_28 2015 Control",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
"Tascons_28 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,45,45,80,80,80,100
"Tascons_28 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_28 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
"Tascons_28 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_28 2017 Tractament",0,0,0,0,0,0,0,0,0,5,10,20,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_29 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_29 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,25
"Tascons_29 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_29 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10
"Tascons_29 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_29 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,20,40,100,100,100,100,100,100,100,100,100,100,100
"Tascons_3 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_3 2015 Tractament",15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,80,80,80,80,80
"Tascons_3 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_3 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,20,20,20,20,20,20,50,50,50,50,50
"Tascons_3 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_3 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,15,25,60,70,80,90,100,100,100,100,100,100,100,100,100,100
"Tascons_30 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_30 2015 Tractament",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,6,6,6,6,6,6
"Tascons_30 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_30 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Tascons_30 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_30 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,15,50,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_4 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tascons_4 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,6,6,6,6,15
"Tascons_4 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_4 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,20
"Tascons_4 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_4 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,50,60,90,100,100,100,100,100,100,100,100,100,100
"Tascons_5 2015 Control",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tascons_5 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,70,80,85,85,85,85,90,95,95,100,100,100,100
"Tascons_5 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_5 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,10,10,10,10,25,35,35,35,35
"Tascons_5 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_5 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_6 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_6 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,11,11,11,11,11,15
"Tascons_6 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
"Tascons_6 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_6 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_7 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_7 2015 Tractament",0,0,0,0,0,0,0,0,5,5,5,5,5,5,20,25,35,35,40,40,40,40,100,100,100,100,100,100,100
"Tascons_7 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_7 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,10,15,15,15,15,15,45,45,45,70,80,80,80,85,90,90,90,90
"Tascons_7 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_7 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,30,60,80,100,100,100,100,100,100,100,100,100,100,100
"Tascons_9 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,5,5,5,5
"Tascons_9 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,30,30,55,55,55,55,100,100,100,100,100,100,100
"Tascons_9 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_9 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,20,30,30,30,70,70,70,80,80,80,80,90
"Tascons_9 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_9 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,10,30,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_NI_1_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_NI_2_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_NI_3_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_NI_4_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_NI_5_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_NI_6_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_1 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_1 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Vaca_1 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_1 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,15,20
"Vaca_1 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_1 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,10,30,40,60,80,90,100,100,100,100,100,100,100,100,100,100,100
"Vaca_10 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_10 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,5,5,20
"Vaca_10 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_10 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,10,10,20,40,50,60
"Vaca_10 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_10 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,30,80,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_11 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_11 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,15,15,15,30
"Vaca_11 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_11 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,20,30,30,30
"Vaca_11 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_11 2017 Tractament",0,0,0,0,0,0,0,0,0,15,50,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_12 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_12 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6
"Vaca_12 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_12 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_12 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_12 2017 Tractament",0,0,0,0,0,0,0,0,0,15,20,40,60,60,70,90,90,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_13 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_13 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Vaca_13 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_13 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,25,25,30,30,30,30,55,55,55,55,55
"Vaca_13 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_13 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,40,70,100,100,100,100,100,100,100,100,100,100
"Vaca_15 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_15 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
"Vaca_15 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_15 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_15 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_15 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,60,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_16 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"Vaca_16 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5
"Vaca_16 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_16 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,20
"Vaca_16 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_16 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,10,40,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_17 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_17 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,10
"Vaca_17 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_17 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,25,25,25,25,25,25,30,35
"Vaca_17 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_17 2017 Tractament",0,0,0,0,0,0,0,0,0,5,5,5,10,15,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_18 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_18 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Vaca_18 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_18 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,10,10,10
"Vaca_18 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_18 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,5,25,50,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_2 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_2 2015 Tractament",20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,60,60,60,60,60
"Vaca_2 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_2 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,10,15,20
